Type (Material of Interior of Setting); Brand (ID|Naam);Collection (ID|Naam);Interior (ID|Naam);Parts (Naam is voldoende, in een URL zal altijd de naam in lowercase gebruikt kunnen worden, bv. ?paint=...);Colors (ID of Designnummer|Naam);Moods (ID|Naam, gescheiden door + om een kleur of stof aan meerdere moods te koppelen);Mood Collection (ID|Naam, gescheiden door + om een kleur of stof aan meerdere mood collections te koppelen);Extra
Material;;;;Fabric;FOL1201|Timeless Angora;kombu-green|Kombu Green;;
Material;;;;Fabric;FOL1202|Timeless Oyster;purple-opulence|Purple Opulence;;
Material;;;;Fabric;FOL1203|Timeless Stone;snow-leopard|Snow Leopard;;
Material;;;;Fabric;FOL1204|Timeless Moon;snow-leopard|Snow Leopard;;
Material;;;;Fabric;FOL1207|Timeless Oasis;kombu-green|Kombu Green;;
Material;;;;Fabric;FOL1208|Timeless Dew;after-dark|After Dark;;
Material;;;;Fabric;FOL1301|Lugosi Eclipse;peacock-green|Peacock Green;;
Material;;;;Fabric;FOL1302|Lugosi Burgundy;rumba-red|Rumba Red;;
Material;;;;Fabric;LILI001|Atrition Oyster;after-dark|After Dark;;
Material;;;;Fabric;LILI002|Atrition Oatmeal;snow-leopard|Snow Leopard;;
Material;;;;Fabric;LILI003|Atrition Black;purple-opulence|Purple Opulence;;
Material;;;;Fabric;LILI004|Atrition Paprika;kombu-green|Kombu Green;;
Material;;;;Fabric;LILI006|Atrition Antilope;peacock-green|Peacock Green;;
Material;;;;Fabric;LILI007|Atrition Navy;peacock-green|Peacock Green;;
Material;;;;Fabric;LILI009|Atrition Lagoon;peacock-green|Peacock Green;;
Material;;;;Fabric;LILI012|Atrition Stone;snow-leopard|Snow Leopard;;
Material;;;;Fabric;VELV001|Velvet Red;rumba-red|Rumba Red;;
Material;;;;Fabric;VELV002|Velvet Silver;after-dark|After Dark;;
Material;;;;Fabric;VELV004|Velvet Snow;purple-opulence|Purple Opulence+kombu-green|Kombu Green+snow-leopard|Snow Leopard+after-dark|After Dark;;
Material;;;;Fabric;VELV005|Velvet Brown;kombu-green|Kombu Green;;
Material;;;;Fabric;VELV007|Velvet Linen;rumba-red|Rumba Red;;
Material;;;;Fabric;VELV012|Velvet Steel;after-dark|After Dark;;
Material;;;;Fabric;VELV019|Velvet Terra;rumba-red|Rumba Red+purple-opulence|Purple Opulence;;
Material;;;;Fabric;VELV021|Velvet Curry;purple-opulence|Purple Opulence;;
Material;;;;Fabric;VELV022|Velvet Henna;rumba-red|Rumba Red;;
Material;;;;Fabric;VELV023|Velvet Caviar;snow-leopard|Snow Leopard+after-dark|After Dark+rumba-red|Rumba Red;;
Material;;;;Fabric;VELV024|Velvet Oasis;kombu-green|Kombu Green;;
Material;;;;Fabric;VELV025|Velvet Shadow;after-dark|After Dark;;
Material;;;;Fabric;VELV026|Velvet Ivory;peacock-green|Peacock Green;;
Material;;;;Paint;COL1002|Bleached Sand;snow-leopard|Snow Leopard+peacock-green|Peacock Green;;
Material;;;;Paint;COL1004|Vanilla Milk;snow-leopard|Snow Leopard+after-dark|After Dark;;
Material;;;;Paint;COL1006|Pale Taupe;snow-leopard|Snow Leopard;;
Material;;;;Paint;COL1007|Mountain Top;snow-leopard|Snow Leopard;;
Material;;;;Paint;COL1013|Jungle Ground;purple-opulence|Purple Opulence;;
Material;;;;Paint;COL1019|Warm Olive;kombu-green|Kombu Green;;
Material;;;;Paint;COL1020|Evening Star;purple-opulence|Purple Opulence;;
Material;;;;Paint;COL1022|Whisper White;snow-leopard|Snow Leopard+peacock-green|Peacock Green+after-dark|After Dark;;
Material;;;;Paint;COL1024|Timber Wolf;snow-leopard|Snow Leopard;;
Material;;;;Paint;COL1108|Lemon Chiffon;kombu-green|Kombu Green;;
Material;;;;Paint;COL1109|Winter Leaf;kombu-green|Kombu Green;;
Material;;;;Paint;COL1110|Bronze Green;kombu-green|Kombu Green+peacock-green|Peacock Green;;
Material;;;;Paint;COL1221|Sunset Gold;purple-opulence|Purple Opulence;;
Material;;;;Paint;COL1224|Cocoon Moss;kombu-green|Kombu Green+peacock-green|Peacock Green;;
Material;;;;Paint;COL1306|Red Brick;rumba-red|Rumba Red;;
Material;;;;Paint;COL1310|Deep Lavende;rumba-red|Rumba Red;;
Material;;;;Paint;COL1312|Dusty Grey;purple-opulence|Purple Opulence;;
Material;;;;Paint;COL1318|Purple Grape;purple-opulence|Purple Opulence;;
Material;;;;Paint;COL1401|Light Shadow;after-dark|After Dark;;
Material;;;;Paint;COL1402|Dark Slate;after-dark|After Dark;;
Material;;;;Paint;COL1405|Pagoda Blue;peacock-green|Peacock Green;;
Material;;;;Paint;COL1417|Black Caviar;after-dark|After Dark+snow-leopard|Snow Leopard+purple-opulence|Purple Opulence+kombu-green|Kombu Green+peacock-green|Peacock Green;;
Material;;;;Paint;COL1419|Griffin Grey;after-dark|After Dark;;
Material;;;;Paint;COL1420|Mediterranea Turquoise;peacock-green|Peacock Green;;
Material;;;;Paint;COL1421|Amparo Blue;peacock-green|Peacock Green;;
Material;;;;Paint;COL1503|Tender Taupe;after-dark|After Dark;;
Material;;;;Paint;COL1511|Burning Sun;purple-opulence|Purple Opulence;;
Material;;;;Paint;COL1519|Sand Stone;kombu-green|Kombu Green;;
Material;;;;Paint;COL1520|Snow White;rumba-red|Rumba Red;;
Material;;;;Paint;COL1521|Old Linen;rumba-red|Rumba Red;;
Material;;;;Paint;COL1522|Dark Latte;rumba-red|Rumba Red;;
Material;;;;Paint;COL1523|Terra Cotta;rumba-red|Rumba Red;;
Material;;;;Paint;COL1524|Mocha Bran;rumba-red|Rumba Red;;
Material;khroma|Khrôma;CAB|Cabinet De Curiosities;;Wallpaper;CAB001|Baraque Peacock;peacock-green|Peacock Green;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;CAB|Cabinet De Curiosities;;Wallpaper;CAB002|Baraque Cement;snow-leopard|Snow Leopard;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;CAB|Cabinet De Curiosities;;Wallpaper;CAB003|Baraque Moonbeam;snow-leopard|Snow Leopard+peacock-green|Peacock Green+purple-opulence|Purple Opulence+after-dark|After Dark;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;CAB|Cabinet De Curiosities;;Wallpaper;CAB004|Baraque Aqua;peacock-green|Peacock Green;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;CAB|Cabinet De Curiosities;;Wallpaper;CAB005|Baraque Jungle;peacock-green|Peacock Green+kombu-green|Kombu Green;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;CAB|Cabinet De Curiosities;;Wallpaper;CAB006|Baraque Mandarin;purple-opulence|Purple Opulence+kombu-green|Kombu Green;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;CAB|Cabinet De Curiosities;;Wallpaper;CAB007|Baraque Purple;rumba-red|Rumba Red+purple-opulence|Purple Opulence;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;CAB|Cabinet De Curiosities;;Wallpaper;CAB101|Verdura Burgundy;rumba-red|Rumba Red;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;CAB|Cabinet De Curiosities;;Wallpaper;CAB102|Verdura Desert;snow-leopard|Snow Leopard;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;CAB|Cabinet De Curiosities;;Wallpaper;CAB103|Verdura Woodrose;after-dark|After Dark;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;CAB|Cabinet De Curiosities;;Wallpaper;CAB104|Verdura Amphora;after-dark|After Dark;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;CAB|Cabinet De Curiosities;;Wallpaper;CAB105|Verdura Peacock;peacock-green|Peacock Green;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;CAB|Cabinet De Curiosities;;Wallpaper;CAB202|Equator Midnight;after-dark|After Dark;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;CAB|Cabinet De Curiosities;;Wallpaper;CAB203|Equator Peacock;peacock-green|Peacock Green;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;CAB|Cabinet De Curiosities;;Wallpaper;CAB204|Equator Jungle;kombu-green|Kombu Green;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;CAB|Cabinet De Curiosities;;Wallpaper;CAB301|Sauvage Aqua;peacock-green|Peacock Green;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;CAB|Cabinet De Curiosities;;Wallpaper;CAB302|Sauvage Ivory;snow-leopard|Snow Leopard;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;CAB|Cabinet De Curiosities;;Wallpaper;CAB303|Sauvage Moonlight;after-dark|After Dark;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;CAB|Cabinet De Curiosities;;Wallpaper;CAB304|Sauvage Mandarin;purple-opulence|Purple Opulence;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;CAB|Cabinet De Curiosities;;Wallpaper;CAB305|Sauvage Burgundy;rumba-red|Rumba Red;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;CAB|Cabinet De Curiosities;;Wallpaper;CAB401|Verena Clay;snow-leopard|Snow Leopard;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;CAB|Cabinet De Curiosities;;Wallpaper;CAB402|Verena Midnight;after-dark|After Dark;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;CAB|Cabinet De Curiosities;;Wallpaper;CAB403|Verena Feather;after-dark|After Dark;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;CAB|Cabinet De Curiosities;;Wallpaper;CAB404|Verena Oyster;snow-leopard|Snow Leopard;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;CAB|Cabinet De Curiosities;;Wallpaper;CAB501|Facet Jungle;kombu-green|Kombu Green;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;CAB|Cabinet De Curiosities;;Wallpaper;CAB502|Facet Ivory;snow-leopard|Snow Leopard;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;CAB|Cabinet De Curiosities;;Wallpaper;CAB503|Facet Aqua;peacock-green|Peacock Green;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;CAB|Cabinet De Curiosities;;Wallpaper;CAB504|Facet Burgundy;rumba-red|Rumba Red;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;CAB|Cabinet De Curiosities;;Wallpaper;CAB601|Papaya Desert;snow-leopard|Snow Leopard;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;CAB|Cabinet De Curiosities;;Wallpaper;CAB602|Papaya Peacock;peacock-green|Peacock Green;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;CAB|Cabinet De Curiosities;;Wallpaper;CAB603|Papaya Jungle;kombu-green|Kombu Green;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;CAB|Cabinet De Curiosities;;Wallpaper;CAB604|Papaya Mandarin;purple-opulence|Purple Opulence;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;CAB|Cabinet De Curiosities;;Wallpaper;CAB605|Papaya Kombou;kombu-green|Kombu Green;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;CAB|Cabinet De Curiosities;;Wallpaper;CAB701|Eden Desert;snow-leopard|Snow Leopard;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;CAB|Cabinet De Curiosities;;Wallpaper;CAB702|Eden Amphora;after-dark|After Dark;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;CAB|Cabinet De Curiosities;;Wallpaper;CAB703|Eden Aqua;peacock-green|Peacock Green;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;CAB|Cabinet De Curiosities;;Wallpaper;CAB704|Eden Mandarin;purple-opulence|Purple Opulence;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;CAB|Cabinet De Curiosities;;Wallpaper;CAB801|Tender Desert;peacock-green|Peacock Green;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;CAB|Cabinet De Curiosities;;Wallpaper;CAB802|Tender Moonlight;after-dark|After Dark;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;CAB|Cabinet De Curiosities;;Wallpaper;CAB803|Tender Amber;snow-leopard|Snow Leopard;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;CAB|Cabinet De Curiosities;;Wallpaper;CAB804|Tender Jungle;purple-opulence|Purple Opulence;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;CAB|Cabinet De Curiosities;;Wallpaper;CAB901|Iguana Clay;snow-leopard|Snow Leopard;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;CAB|Cabinet De Curiosities;;Wallpaper;CAB902|Iguana Moonight;after-dark|After Dark;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;CAB|Cabinet De Curiosities;;Wallpaper;CAB903|Iguana Oyster;snow-leopard|Snow Leopard+peacock-green|Peacock Green;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;CAB|Cabinet De Curiosities;;Wallpaper;CAB904|Iguana Amber;purple-opulence|Purple Opulence;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;CAB|Cabinet De Curiosities;;Wallpaper;CAB905|Iguana Purple;rumba-red|Rumba Red+purple-opulence|Purple Opulence;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;CLR|Colour Linen;;Wallpaper;CLR001|Lys Snow;purple-opulence|Purple Opulence;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;CLR|Colour Linen;;Wallpaper;CLR018|Lys Caviar;after-dark|After Dark;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;CLR|Colour Linen;;Wallpaper;CLR021|Lys Oyster;after-dark|After Dark;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;RTS|Roots;;Wallpaper;RTS506|Denia Sand;after-dark|After Dark;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;RTS|Roots;;Wallpaper;RTS509|Denia Oyster;snow-leopard|Snow Leopard;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;WIL|Wild;;Wallpaper;WIL401|Naxos Ochre;kombu-green|Kombu Green;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;WIL|Wild;;Wallpaper;WIL402|Naxos Smoke;after-dark|After Dark;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;WIL|Wild;;Wallpaper;WIL404|Naxos Snow;peacock-green|Peacock Green;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;WIL|Wild;;Wallpaper;WIL701|Denia Chrystal;after-dark|After Dark;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;GLA|Kent;;Wallpaper;GLA603|Kai Moonlight;after-dark|After Dark;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;GAT|Gatsby;;Wallpaper;GAT605|Dixie Snow;kombu-green|Kombu Green;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;GAT|Gatsby;;Wallpaper;GAT609|Dixie Tobacco;rumba-red|Rumba Red;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;GAT|Gatsby;;Wallpaper;GAT614|Dixie Mohagany;rumba-red|Rumba Red;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;SOC|Sound of Colour;;Wallpaper;SOC110|Aponia Oyster;kombu-green|Kombu Green;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;SOC|Sound of Colour;;Wallpaper;SOC112|Aponia Parchment;rumba-red|Rumba Red;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;IUM|Helium;;Wallpaper;IUM401|Ori Snow;snow-leopard|Snow Leopard;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;IUM|Helium;;Wallpaper;IUM403|Ori Moss;peacock-green|Peacock Green;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;IUM|Helium;;Wallpaper;IUM409|Ori Sand;rumba-red|Rumba Red;CAB|Cabinet De Curiosities;
Interior;;;CAB504|CAB504;SwatchFabric02;;;;38%|65%
Interior;;;CAB504|CAB504;SwatchFabric01;;;;65%|60%
Interior;;;CAB504|CAB504;SwatchPaint;;;;13%|65%
Interior;;;CAB504|CAB504;SwatchWallpaper;;;;80%|15%
Interior;;;CAB504|CAB504;Fabric02;FOL1302;rumba-red;;
Interior;;;CAB504|CAB504;Fabric01;VELV001;rumba-red;;
Interior;;;CAB504|CAB504;Paint;COL1310;rumba-red;;
Interior;;;CAB504|CAB504;Wallpaper;CAB305;rumba-red;;
Interior;;;CAB504|CAB504;Fabric02;VELV004;after-dark;;
Interior;;;CAB504|CAB504;Fabric01;VELV012;after-dark;;
Interior;;;CAB504|CAB504;Paint;COL1402;after-dark;;
Interior;;;CAB504|CAB504;Wallpaper;CAB104;after-dark;;
Interior;;;CAB504|CAB504;Fabric02;VELV004;snow-leopard;;
Interior;;;CAB504|CAB504;Fabric01;FOL1204;snow-leopard;;
Interior;;;CAB504|CAB504;Paint;COL1022;snow-leopard;;
Interior;;;CAB504|CAB504;Wallpaper;CAB401;snow-leopard;;
Interior;;;CAB504|CAB504;Fabric02;FOL1301;peacock-green;;
Interior;;;CAB504|CAB504;Fabric01;LILI006;peacock-green;;
Interior;;;CAB504|CAB504;Paint;COL1405;peacock-green;;
Interior;;;CAB504|CAB504;Wallpaper;CAB703;peacock-green;;
Interior;;;CAB504|CAB504;Fabric02;VELV024;kombu-green;;
Interior;;;CAB504|CAB504;Fabric01;FOL1207;kombu-green;;
Interior;;;CAB504|CAB504;Paint;COL1108;kombu-green;;
Interior;;;CAB504|CAB504;Wallpaper;CAB204;kombu-green;;
Interior;;;CAB504|CAB504;Fabric02;FOL1202;purple-opulence;;
Interior;;;CAB504|CAB504;Fabric01;VELV019;purple-opulence;;
Interior;;;CAB504|CAB504;Paint;COL1417;purple-opulence;;
Interior;;;CAB504|CAB504;Wallpaper;CAB804;purple-opulence;;
Interior;;;CAB604|CAB604;SwatchFabric01;;;;15%|76%
Interior;;;CAB604|CAB604;SwatchFabric02;;;;63%|67%
Interior;;;CAB604|CAB604;SwatchPaint01;;;;91%|65%
Interior;;;CAB604|CAB604;SwatchPaint02;;;;65%|37%
Interior;;;CAB604|CAB604;SwatchWallpaper01;;;;80%|12%
Interior;;;CAB604|CAB604;SwatchWallpaper02;;;;33%|49%
Interior;;;CAB604|CAB604;Fabric01;VELV001;rumba-red;;
Interior;;;CAB604|CAB604;Fabric02;FOL1302;rumba-red;;
Interior;;;CAB604|CAB604;Paint01;COL1310;rumba-red;;
Interior;;;CAB604|CAB604;Paint02;COL1520;rumba-red;;
Interior;;;CAB604|CAB604;Wallpaper01;CAB305;rumba-red;;
Interior;;;CAB604|CAB604;Wallpaper02;CAB504;rumba-red;;
Interior;;;CAB604|CAB604;Fabric01;VELV025;after-dark;;
Interior;;;CAB604|CAB604;Fabric02;LILI001;after-dark;;
Interior;;;CAB604|CAB604;Paint01;COL1022;after-dark;;
Interior;;;CAB604|CAB604;Paint02;COL1402;after-dark;;
Interior;;;CAB604|CAB604;Wallpaper01;CAB104;after-dark;;
Interior;;;CAB604|CAB604;Wallpaper02;GLA603;after-dark;;
Interior;;;CAB604|CAB604;Fabric01;FOL1204;snow-leopard;;
Interior;;;CAB604|CAB604;Fabric02;LILI002;snow-leopard;;
Interior;;;CAB604|CAB604;Paint01;VOL1417;snow-leopard;;
Interior;;;CAB604|CAB604;Paint02;COL1022;snow-leopard;;
Interior;;;CAB604|CAB604;Wallpaper01;CAB401;snow-leopard;;
Interior;;;CAB604|CAB604;Wallpaper02;CAB901;snow-leopard;;
Interior;;;CAB604|CAB604;Fabric01;LILI006;peacock-green;;
Interior;;;CAB604|CAB604;Fabric02;LILI006;peacock-green;;
Interior;;;CAB604|CAB604;Paint01;COL1405;peacock-green;;
Interior;;;CAB604|CAB604;Paint02;COL1002;peacock-green;;
Interior;;;CAB604|CAB604;Wallpaper01;CAB703;peacock-green;;
Interior;;;CAB604|CAB604;Wallpaper02;CAB203;peacock-green;;
Interior;;;CAB604|CAB604;Fabric01;FOL1207;kombu-green;;
Interior;;;CAB604|CAB604;Fabric02;VELV004;kombu-green;;
Interior;;;CAB604|CAB604;Paint01;COL1417;kombu-green;;
Interior;;;CAB604|CAB604;Paint02;COL1110;kombu-green;;
Interior;;;CAB604|CAB604;Wallpaper01;CAB204;kombu-green;;
Interior;;;CAB604|CAB604;Wallpaper02;CAB605;kombu-green;;
Interior;;;CAB604|CAB604;Fabric01;VELV019;purple-opulence;;
Interior;;;CAB604|CAB604;Fabric02;LILI003;purple-opulence;;
Interior;;;CAB604|CAB604;Paint01;COL1417;purple-opulence;;
Interior;;;CAB604|CAB604;Paint02;COL1020;purple-opulence;;
Interior;;;CAB604|CAB604;Wallpaper01;CAB804;purple-opulence;;
Interior;;;CAB604|CAB604;Wallpaper02;CAB704;purple-opulence;;
Interior;;;CAB702|CAB702;SwatchFabric;;;;6%|65%
Interior;;;CAB702|CAB702;SwatchPaint01;;;;91%|86%
Interior;;;CAB702|CAB702;SwatchPaint02;;;;19%|42%
Interior;;;CAB702|CAB702;SwatchWallpaper;;;;78%|11%
Interior;;;CAB702|CAB702;Fabric;FOL1302;rumba-red;;
Interior;;;CAB702|CAB702;Paint01;COL1310;rumba-red;;
Interior;;;CAB702|CAB702;Paint02;COL1310;rumba-red;;
Interior;;;CAB702|CAB702;Wallpaper;CAB305;rumba-red;;
Interior;;;CAB702|CAB702;Fabric;LILI001;after-dark;;
Interior;;;CAB702|CAB702;Paint01;COL1402;after-dark;;
Interior;;;CAB702|CAB702;Paint02;COL1402;after-dark;;
Interior;;;CAB702|CAB702;Wallpaper;CAB104;after-dark;;
Interior;;;CAB702|CAB702;Fabric;FOL1204;snow-leopard;;
Interior;;;CAB702|CAB702;Paint01;COL1022;snow-leopard;;
Interior;;;CAB702|CAB702;Paint02;COL1022;snow-leopard;;
Interior;;;CAB702|CAB702;Wallpaper;CAB401;snow-leopard;;
Interior;;;CAB702|CAB702;Fabric;LILI006;peacock-green;;
Interior;;;CAB702|CAB702;Paint01;COL1417;peacock-green;;
Interior;;;CAB702|CAB702;Paint02;COL1417;peacock-green;;
Interior;;;CAB702|CAB702;Wallpaper;CAB703;peacock-green;;
Interior;;;CAB702|CAB702;Fabric;FOL1207;kombu-green;;
Interior;;;CAB702|CAB702;Paint01;COL1110;kombu-green;;
Interior;;;CAB702|CAB702;Paint02;COL1108;kombu-green;;
Interior;;;CAB702|CAB702;Wallpaper;CAB204;kombu-green;;
Interior;;;CAB702|CAB702;Fabric;VELV019;purple-opulence;;
Interior;;;CAB702|CAB702;Paint01;COL1417;purple-opulence;;
Interior;;;CAB702|CAB702;Paint02;COL1417;purple-opulence;;
Interior;;;CAB702|CAB702;Wallpaper;CAB804;purple-opulence;;
Setting;;;;;;;;SlideshowDelay|300
Setting;;;;;;;;RandomTimer|5
Setting;;;;;;;;ConfigExpiryDays|1
Setting;;;;;;;;SaveConfigExpiryDays|7
Setting;;;;;;;;StartInteriorID|CAB604
Setting;;;;;;;;StartMoodID|kombu-green
